2,BW250,CID,CIP,BRIGHT WASH 250 ML,BW 250,BOT,BOX,72,1,27003,N,0
2,BW500,CID,CIP,BRIGHT WASH 500ML,BRIGHT WASH 500 ML,BOT,BOX,36,12.6,13068,Y,3
2,BW500PP,CID,CIP,ZBRIGHT WASH 500ML (PROMO PACK,ZBRIGHT WASH 500ML-P,BOT,BOX,18,43.45,33008,N,3
2,IPA180BF,SVC,GAL,ISOPROPYL ALCOHOL 180 ML - BF,IPA 180 ML - BF,BOT,BOX,72,16.5,23023,N,3
2,IPA480BF,SVC,GAL,ISOPROPYL ALCOHOL 480 ML - BF,IPA 480 ML - BF,BOT,BOX,36,28.6,17056,N,3
2,IPA180NS,SVC,GAL,ISOPROPYL ALCOHOL 180 ML - NS,IPA 180 ML - NS,BOT,BOX,72,24.96,24039,N,3
2,IPA480NS,SVC,GAL,ISOPROPYL ALCOHOL 480 ML - NS,IPA 480 ML - NS,BOT,BOX,36,42.25,18172,N,3
2,MO250,CID,CIP,Z MESS OUT 250 ML,Z MESS OUT 250 ML,BOT,BOX,72,1,26010,N,3
2,MO500,CID,CIP,MESS OUT 500 ML DISHWASHING,MESS OUT 500 ML DW,BOT,BOX,36,48,5187,N,3
2,MO500PP,CID,CIP,ZMESS OUT 500 ML - PP,MESS OUT 500 ML - PP,BOT,BOX,18,36.3,32046,N,2
2,PVP10POW,SVC,GAL,PVP-I POWDER 10 GMS LCPI,PVP-I POWDER  10G L,BOT,BOX,72,22.4,19027,N,3
2,PVP15SOL,SVC,GAL,PVP-I 10% SOLN  15 ML LCPI,PVP-I 10% SOLN15MLCP,BOT,BOX,72,23.9,20056,Y,3
2,PVP4LSOL,SVC,GAL,PVP-I 10% SOLN   4 L  LCPI,PVP-I 10% SOLN 4L LC,GAL,BOX,4,580,64070,Y,3
2,LOPE2CAP,SVC,GEN,Z-LOPERAMIDE CAPSULE 2  MG,Z-LOPERAMIDE 2 MG CA,BOX,BOX,100,1,1,N,0
2,CAR60SYP,SVC,GEN,CARBOCISTEINE SYRUP 100MG/ML,CARBO SYRUP 100MG/ML,BOT,BOX,72,17,304050,Y,2
2,GUA60SYP,SVC,GEN,GUAIFENESIN SYRUP 100MG/ML 60M,GUAIFENESIN SYP 60ML,BOT,BOX,72,16,305007,Y,3
2,PAR15DRP,SVC,GEN,PARACETAMOL SUSP DROPS 15 ML,PARA 60/0.6 DROPS,BOT,BOX,72,16,338017,Y,2
2,PAR60SYP,SVC,GEN,PARACETAMOL SYRUP 125/5 60ML,PARA 60ML 125 SYP,BOT,BOX,72,14,299053,Y,2
2,DIP25CAP,SVC,GEN,Z-DIPHENHYDRAMINE CAPSULE 25 M,Z-DIP 25 MG CAP,BOX,BOX,100,1,1,N,0
2,MO50,CID,CIP,ZMESS OUT 50 ML,ZMESS OUT 50 ML,BOT,BOT,1,1,55001,N,3
2,BW50,CID,CIP,BRIGHT WASH 50 ML,BRIGHT WASH 50 ML,BOT,BOT,1,1,53001,N,3
2,MO2L,CID,CIP,MESS OUT 2 LITERS DISHWASHING,MESS OUT 2 LITERS DW,BOT,BOX,6,12.5,28483,N,3
2,BW2L,CID,CIP,BRIGHT WASH 2 LITERS,BRIGHT WASH 2 LITERS,BOT,BOX,6,12.6,29083,Y,3
1,COT24RH,CPD-LOC,FGP,Z-CO-TRI 24% FG  CEREAL TBPI,Z-CO-TRI 24% FG RH,KG,BOX,10,1,1054,N,0
1,COT48WSP,TOLL,WSP,LAKTRAZINE 48% WSP,LAKTRAZINE 48% WSP,KG,BOX,4,770,48052,Y,3
2,COT24CC,TOLL,FGP,COTRIMAZINE 24% FG  HD,COTRI 24% FG HD TBPI,KG,BOX,10,1,34035,N,1
2,MO50SACH,CID,CIP,Z MO 50 ML,Z MO 50 ML,SAC,BOX,144,5.35,35011,N,2
1,BW50SACH,CID,CIP,BRIGHT WASH 50 ML SACHET X 144,BW 50ML SACHET,SAC,BOX,144,2.85,38002,N,2
2,LIN/SPEC,CPD-LOC,FGP,Z-LINCOMYCIN/SPECTINOMYCIN F.G,Z-LINCO/SPECTIN F.G.,KG,BOX,10,1,14020,N,0
2,MO50108,CID,CIP,M.O. GLINT CW 50 ML SCHT X 108,MO GLINT CW 50 X 108,SAC,BOX,108,7.05,81689,N,3
2,DOXYWSP,CPD-LOC,WSP,DOXYVET PLAIN WSP TBPI,DOXYVET PLAIN WSP,KG,SAC,25,1,9025,N,2
1,HATC-EGG,CPD-LOC,DIP,ZHATCHING EGG SPRAY 1 L,ZHATCHING EGG CONC.1,SET,BOX,12,1,25027,N,3
2,VERMGUAR,MP,FGP-AB,ZVERMGUARD F.G.  NEW IMPROVE,VERMGUARD NEW IMPRO,JAR,BOX,4,1,6024,N,3
2,DOXYFORT,CPD-LOC,WSP,Z DOXYLAK FORTE WSP TBPI,Z DOXYLAK FORTE WSP,KG,SAC,25,1,54006,N,1
1,NORFLOXA,CPD-LOC,FGP,ZNORFLOXACIN 10% FG,ZNORFLOXACIN 10% FG,KG,BOX,10,1,21010,N,3
2,COT24WSP,OTC,HHP,ZCOTRI 24% WSP,ZCOTRI 24% WSP,KG,SAC,25,1,4065,N,3
2,OSP,TOLL,ACP,Z OXPENSUL F.G.,Z OXPENSUL F.G.,KG,BOX,10,1,2089,N,2
2,ANTILUEK,CPD-LOC,TOLL,MAGNOLIA ANTILEUKOCYTOZOON,ANTILEUKOCYTOZOON,KG,BOX,10,1,16015,N,2
1,AMOX20%P,TOLL,WSP,AMOXYLAK 20% WSP 1KG,AMOXYLAK 20% WSP 1KG,KG,BOX,4,165,52280,N,3
1,POVPOW40,TOLL,HHP,PVP-I POWDER 40 GMS LDI,PVP-I POW 40 GMS LD,BOT,BOX,36,1,43028,Y,3
1,POVPOW75,TOLL,HHP,Z WOUND POWDER 75 G,Z WOUND POWDER 75 G,BOT,BOX,36,60,44026,N,3
2,HELMINTH,MP,WSP-ABP,ZHELMINTH - X,ZHELMINTH - X,JAR,BOX,4,1,22010,N,3
2,BW50-108,CID,CIP,BRIGHT WASH 50 ML SACHET X 108,BW 50ML 108/ C. BOX,SAC,BOX,108,2.85,39029,N,3
2,PVPPOWSM,SVC,GAL,PVP-I POWDER 10 GMS SM BONUS,PVP-I POW 10GM SM,BOT,BOX,72,10.8,41008,N,3
2,PVPSOLSM,SVC,GAL,PVP-I 10% SOLN  15 ML SM BONUS,PVP-I 10% SOL.15MLSM,BOT,BOX,72,11.5,42008,N,3
1,COT48FG,CPD-LOC,IND,Z-COTRI48% FG  HD ARVIN TBPI,Z-COTRI 48 % FG ARVN,KG,BOX,10,1,45015,N,0
1,ERYTHWSP,TOLL,WSP-ABP,ERYTHROMYCIN 5.5% WSP 1KG,ERYTHRO 5.5% WSP,KG,BOX,4,1,3039,Y,3
2,PYRI-WSP,OTC,HHP,ZPYRIMETHAMINE WSP 25 KG LDI,ZPYRIMETH WSP LDI,KG,BOX,25,1,7006,N,3
