DP001164,XXXERTESS PLASTIC INDUSTRIES,15 MASOLA ST. MASAMBONGSFDM QUEZON CITY,GRACE MAGLALANG,365-21-35,90,038-103-993-104,038-103-993-104
DP001165,HERMINIO AUTO SUPPLY,2920 KAKARONG CORJ.P. RIZAL MAKATI CITY,JUN PACHACO,895-95-93,60,906-654-887-000,906-654-887-000
DP001166,ZZ ROTARY CLUB OF SIKATUNA,9 QUINCE ST. CORNERJASMIN ST. ROXAS Q.C,,,0,,
DP001167,ZZ ROTARY CLUB OF CUBAO KAMIAS,R DISTRICT 3780,,,0,,
DP001168,ZZ HMA CONSULTANTS,LDI,,,0,,
DP001169,PIONEER AMARESA INC.,"1641-49 JOSE ABAD SANTOSAVE.COR.QUIRIDA ST.,TONDOMANILA",HELEN,912-47-75,30,109-129-528-000 VAT,109-129-528-000 VAT
DP001170,EDWARD JON SARMIENTO,Q.C.,,,0,,
DP001171,XXXXSELINA SARMIENTO,Q.C,,,0,,
DP001172,ZZ PERCIVAL B. PECANA,"FIL-AM FRIENDSHIP HIWAY,TRINIDAD VILLAGE,CALIBUT-BUT,BACOOR PAMPANGA",,,0,,
DP001173,ZZ ENGR.EDMUND T. MATEO,Q.C.,,,0,,
DP001174,ZZ PEDRO JAVIER JR.,Q.C.,,,0,,
DP001175,ZZ BERNARDINO GARCIA,Q.C.,,,0,,
DP001176,ZZ CHRISTIAN DAVID,Q.C.,,,0,,
DP001177,ZZ FELICIANO SANGA JR.,Q.C.,,,0,,
DP001178,ZZ BASUD HEAVY EQUIPMENT PARTS CORP.,"2849 RIZAL AVE. EXTENSIONSTA. CRUZ, MANILA",,740-32-71,30,223-171-265-000 VAT,223-171-265-000 VAT
DP001179,ZAB ENTERPRISES,"533 blumentritt extn.cor.sobriedad extn.sampaloc,manila",,743-84-93,30,116-309-020-000 VAT,116-309-020-000 VAT
DP001180,ZZ ROTARY CLUB OF QUEZON CITY,"ROTARY INTERNATIONALDISTRICT 3780, QUEZONCITY PHIL.",,,0,,
DP001181,ZZ JAMES J. ASO,LUZON,,,0,,
DP001182,ZZ LSC HARDWARE & CONST.SUPPLY,"247 A,B P.TUAZON BLVD.CUBAO,QUEZON CITY",,911-1125,0,104-024-202-000 VAT,104-024-202-000 VAT
DP001183,DOUBLE GL TRADING,"327 Daang Bakal, Mandalu-yong City",GLORIA CARLOS,534-30-47,0,146-590-387-000VAT(NOV'13,146-590-387-000 VAT
DP001184,ZZ MINERVA SALES CORPORATION,"TUBIGAN, BINAN LAGUNA",,,90,001-755-164-000 VAT,001-755-164-000 VAT
DP001185,DENISH ELECTRICAL & INDUSTRIAL SERVICE,"175 Capinpin st.,BinanLaguna",,,0,159-575-786 NON VAT,159-575-786 NON VAT
DP001186,ZZ FJM VULCANIZING SHOP,FB HARRISON COR IGNACIOST PASAY CITY,,,0,,
DP001187,STYRO-LITE MANUFACTURING CORPORATION,"New Cavite industrialcity,governor's drive,gen.trias cavite",,361-7728,60,003-463-017-000 VAT,003-463-017-000 VAT
DP001188,ZZ UNDERGROUND LOGIC,839 BASEMENT LEVELMIDLAND PASAY ROAD MAKATICITY,,,0,203-702-146-000 VAT,203-702-146-000 VAT
DP001189,ZZ TRISUNS RESOURCES CORP.,"173-B CORDILERA ST.,SMH,QUEZON CITY",JERIC,411-91-91,30,038-005-514-530 VAT,038-005-514-530 VAT
DP001190,ZZ HI-AIRE ENTERPRISES,Q.C.,,,0,,
DP001191,CON-ED GENERAL MERCHADISING,"GONZAGA ST.,BACOLOD CITY",,,0,077-136-889-516 VAT,077-136-889-516 VAT
DP001192,ZZ ELMER TABIOLO,Q.C.,,,0,,
DP001193,ZZ PLAYDIUM BOWLING & BILLIARD,26 TAGUPO ST. COR G.ARANETA AVE.Q.C,,,0,208-287-969-000,208-287-969-000
DP001194,ZZ GIANELLY KNITTING INC.,LDI,,,0,,
DP001195,PILIPINAS TRANSPORT INDUSTRIES,LDI,,,0,,
DP001196,ZZ MARTHY GUNDRAN,Q.C.,,,0,,
DP001197,ZZ JAYCA PRINTS,"126 CHRISTOPHER PLAZA RM.21, QUIRINO HI-WAY LAGRONOVALICHES, Q.C.",MANNY FLOR,930-18-62,60,123-336-798-000 NON VAT,123-336-798-000 NON VAT
DP001198,VELICARIA AGRI & POULTRY SUPPLY,Q.C.,,,0,,
DP001199,ZZ ENRIQUE CASTILLO & FELIZARDO S,Q.C.,,,0,,
DP001200,WORLDWIDE MARRIAGE ENCOUNTER,"401 EARTHRISE BLDG.JAVIERST., MAKATI CITY",,813-1559,0,,
DP001201,ZZ LUCKY 69 POULTRY SUPPLY,LUZON,,,0,,
DP001202,"YUKON COMMERCIAL, INC.","3045 G.URRUTIA ST.,GEN.T. DE LEON, VALENZUELACITY",,443-1980,60,004-483-462-000 VAT,004-483-462-000 VAT
DP001203,XXXLALITA UY,davao,,,0,,
DP001204,ROMULO GACUSANXXX,LDI,,,0,,
DP001205,YOLLY DE GUZMAN,BINAN,,,0,,
DP001206,ZZ APEX FARM-CAVITE,LUZON,,,0,,
DP001207,ZZ E.D.L.GEN.MDSING &AUDIO-VISUAL,"UPPER GROUND RM.35 CITY-LAND DELA ROSA CONDO.DELA ROSA ST.,MAKATI CITY",,812-9157,0,155-174-174-000 VAT,155-174-174-000 VAT
DP001208,CALYPSO PLASTIC CENTER CO.,"718 Asuncion St.San Nicolas, Manila",,,30,001-754-035-000,001-754-035-000
DP001209,XXXCONSTANTE GIRONELLA,HEAD OFFICE,,,0,,
DP001210,VS & F CLASSIC FOOD INT'L.,"#48 JAGUAR ST.FAIRVIEWPARK,FAIRVIEW Q.C.",,937-49-89,0,,
DP001211,ZZ INDUSTRIAL PHILIPPINES JOURNAL,"RMS210-212DONA VICTORIANABLDG.,NEW YORK ST.CORNEREDSA, CUBAO Q.C.",,912-9124,0,,
DP001212,OCTILLION SALES,"#10 W.PAZ STA.ELENA,MARIKINA CITY",,646-1884,30,161-646-172 VAT,161-646-172 VAT
DP001213,ZZ ST.MARY'S ASSOCIATION,QUEEN OF PEACEBACOLOD CITY 6100,,,0,,
DP001214,"EXCEL GLASS,INC.","1913 TAFT AVENUE,PASAY CITY",,4007469/70,0,005-174-675-000 VAT,005-174-675-000 VAT
DP001215,ZZ CELSO BAUTISTA,BINAN,,,0,,
DP001216,ZOBELLA & CO.,"SUITES 1008-009 PARAGONPLAZA EDSA COR.RELIANCEST.,MANDALUYONG CITY",,687-7871,0,004-848-924-000 VAT,004-848-924-000 VAT
DP001217,QUEZON POULTRY LIVESTOCK CORP.,Q.C,,,0,,
DP001218,MAXICARE PCIB CIGNA HEALTHCARE,"19TH FLR.MEDICAL PLAZAMAKATI,AMORSOLO COR.DELAROSA ST.LEGASPI VILL.MKT",,812-0561,0,,
DP001219,XXXRAMON B. IBARRETA,LDI,,,0,123,123
DP001220,ZZ MGC PARTS SUPPLY,"682 EVANGHELISTA ST.,QUIAPO MANILA",,,0,240-145-045-696 VAT,240-145-045-696 VAT
DP001221,ZZ ROYAL FARM,LUZON,,,0,,
DP001222,DEPARTMENT OF AGRICULTURE REG4,DILIMAN QC.,,,0,,
DP001223,ZZ JOYCE DY,Q.C.,,,0,,
DP001224,"PHILAMCARE HEALTH SYSTEMS, INC.",MANILA,,,0,,
DP001225,ZZ HRV PRINT HAUZ,#6 KINGFISHER ST.SABARTESUBD.Q.C,,961-3687,30,4611-02369-A-8VAT,4611-02369-A-8VAT
DP001226,ZZ RAFAEL C. ALTEA II,LDI,,,0,,
DP001227,LIANA TRADING CORPORATION.,"268 SAN FERNANDO ST.,BINONDO, SAN NICOLAS,MANILA",,241-6701-04,0,000-321-218 VAT,000-321-218 VAT
DP001228,ZZ SIGNS OF THE TIMES,"suite 2011 AE bldg.,orti-gas ave.greenhilss, sanjuan, metro manila",,721-3561,30,004-630-681-000 VAT,004-630-681-000 VAT
DP001229,"AZITSOROG,INC.",103 GLORIA STREET MARICKSUBD. CAINTA RIZAL,MARIE GOROSTIZA,656-58-99,30,153-756-082,153-756-082
DP001230,"XXXWING KONG, JR.",MATATAG,,,0,,
DP001231,STARPACK PHILIPPINES CORP.,"F.MANALO ST.,PUNTA STA.ANA MANILA",MA.DITAS MOJE/SERGIO,658-11-63,90,201-113-000 VAT,201-113-000 VAT
DP001232,D.A.MACHINE SHOP,"BLK.I LOT 10,PHASE 4,OLIVARES CINO,SAB VICENTESAN PEDRO, LAGUNA",,,30,057-146-148-760-NV,057-146-148-760-NV
DP001233,"HIMMEL INDUSTRIES, INC.","F.PASCO AVENUE,SANTOLANPASIG CITY",MILLIE/BEN,818-8411,30,000-282-208-000VAT,000-282-208-000VAT
DP001234,"ZZ SCAN LIVINGSTON GRAPHICS, INC.",UNIT 1A GATEWAY 2000 BLDG174 G. ARANETA AVENUEQUEZON CITY,,411-9346,30,209-865-124-000 VAT,209-865-124-000 VAT
DP001235,XXXCHRISTIAN E.ABANADOR,BINAN LAGUNA,,,0,,
DP001236,XXXGERARDO MAURICIO,Q.C.,,,0,,
DP001237,ZZ CAR CONCEPT CAR REPAIR SHOP,"64 dapitan st, lourdes 1,quezon city",,743-76-50,30,110-070-902-000 NON-VAT,110-072-902-000 NON-VAT
DP001238,T.J.'S CLEAR ART,Q.C.,LILET DIONISIO,931-2667,60,164-395-433 VAT,164-395-433 VAT
DP001239,ZZ SEA AIR,Q.C.,,,0,,
DP001240,ZZ MERCURY FREIGHT INT'L.INC.,"NINOY AQUINO AVE.COR.ABONIFACIO ST.SAN DIONISIOPARANAQUE, M.M.",,8203226-27,0,000-349-573-000VAT,000-349-573-000VAT
DP001241,DAIDO IMPEX CORPORATION,"RM.625,DOWNTOWN CENTERBLDG. 516 QUINTIN PAREDESST., BINONDO 1006 MANILA",TEL#2413165-MR. GO,FAX# 2413361,90,000-319-062-000VAT,000-319-062-000VAT
DP001242,PHOENIX BIOTECH & MEDICAL,"RM. 21 ARCEL BLDG.N.DOMINGO ST.,SAN JUANMETRO MANILA",,,0,,
DP001243,ZZ OTTAWA FREIGHT CORPORATION,"PCDC WAREHOUSE,COLLECTORROAD,FRONT OF PIER 6,NORTH HARBOR,TONDO MANILA",,247-7818,30,005-425-060-000 VAT,005-425-060-000 VAT
DP001244,ZZ PHILAM HOMEOWNERS ASSOCIATION,Q.C,,,0,,
DP001245,ZZ J.Q. LOPEZ BROKERAGE INC.,"SUITE 803 FEDERAL TOWER,DASMARINAS ST., BINONDOMANILA",,243-0080,0,002-076-241-000,200-831-334-000
DP001246,CONVOY MARKETING,147KAINGIN RD.QUEZON CITY,,3617418,0,300-003-659-693VAT,300-003-659-693VAT
DP001247,ARANETA TECHNOLOGIES INC.,"4560 A.P. REYES ST.TEJEROS, MAKATI CITY",JAIME ARANETA,895-61-73,60,005-032-341-000 VAT,005-032-341-000 VAT
DP001248,ZZ MANDALUYONG COLISUEM,LDI,,,0,,
DP001249,JOHNNY J. LIM,bacolod,JOHNNY,,0,123,123
DP001250,ZZ MARIANO F. CHUA,CEBU,MACKY,,0,123,123
DP001251,ZZ DARWIN SULAY,ILOILO,DARWIN,,0,,
DP001252,OSIAS B. DE OCAMPO,CEBU,OSIE,,0,,
DP001253,ZZ CEBU HYBRID,CEBU,MACKOY,,0,,
DP001254,"ZZ MEDICOMM ADVERTISING, INC.","2/F BONAVENTURE PLAZA,ORTIGAS AVE., GREENHILLSSAN JUAN METRO MANILA",,637-8151,30,042-005-173-682 VAT,042-005-173-682 VAT
DP001255,ZZ RHESMAR B. UGADDAN,SR-ISABELA/CAGAYAN/TUEGU-GARAO,,,0,,
DP001256,ZZ RAUL BOLANOS,BACOLOD,,,0,,
DP001257,ZZ SR COMMISSION - MINDANAO,C/O LDI,,,0,123,123
DP001258,"CLUBHOTEL PHILIPPINES, INC.","U2003 PS BANK TOWER SEN.GIL PUYAT,AVE.MAKATI CITY",,843-2881,0,201-141-152-000 VAT,
DP001259,ZZ PATRIA DELA CRUZ,ILOILO DEPOT,,,0,,
DP001260,ZZ DONAVAN V. MARCELLANA,VISMIN-OTC,,,0,,
DP001261,ZZ LUKBAN ENTERPRISES,q.c.,,,0,,
DP001262,"ZZ HIPOLITO, MARK",CEBU,,,0,,
DP001263,CEBU CITY TRESURER'S OFFICE,C/O LAKPUE,,,0,123,123
DP001264,DIAGON INC.,"SW 94, ONE GOLDLOOP TOWERCONDO.BLSD.J.ESCRIVA DR.,ORTIGAS CENTER,PASIG CITY",,,30,206-799-278-000 VAT,206-799-278-000 VAT
DP001265,ZZ CRISTOPHER RUNAS,Q.C.,,,0,,
DP001266,ZZ RACHEL GO,Q.C.,,,0,,
DP001267,PEGGY ANN LIMPE,Q.C.,,,0,,
DP001268,ZZ BARTOLOME C. GUEVARRA,q.c.,,,0,,
DP001269,ZZ ROSALINO AGUANTA,CEBU,C/O MF CHUA,,0,,
DP001270,PCSP,Q.C.,,,0,,
DP001271,ZZ NAT TOWING AND HAULING SERVICES,"2086 INT.5, A FRANCISCOSTA.ANA MANILA",,,0,206-541-770-000 NV,206-541-770-000 NV
DP001272,ZZ ANTONIO (JUN) BUENO,CEBU,C/O MFC,,0,,
DP001273,ZZ RICO GENERAL INSURANCE CORP.,CEBU,,,0,123,123
DP001274,ZZ BICOL EXPRESS,BACOLOD,ARNEL,,0,123,123
DP001275,JM POULTRY & LIVESTOCK SUPPLY,CEBU,,,0,,
DP001276,ZZ VICKY S. ONG,"395-H PRES. MAGSAYSAY ST.COR. BREZLIN ST.,CEBU CITY",VICKY S. ONG,,0,123,123
DP001277,ZZ SEALINE CARGO FORWARDER,CEBU,,,0,123,123
DP001278,"ZZ MALUNES, ARTURO",BACOLOD,,,0,123,123
DP001279,ZZ EUGENIO REBALDE,CEBU,,,0,,
DP001280,ZZ ST.BRIDGET'S COMPANY,Q.C.,,,0,,
DP001281,ZZ WILBUR C. LETRAN,H.O. - CPD,,,0,,
DP001282,ZZ LHITO'S (3-J) GLASS SUPPLY,"Poblacion Macabebe,Pampanga",,,0,,
DP001283,"ZZ GREEN, INC.",BACOLOD CITY,,,0,,
DP001284,ZZ EDROEL VILLA,CEBU,C/O MFC,,0,,
DP001285,ZZ MULTI FARM,CEBU,ROSALINO AGUENTA,,0,,
DP001286,"ZZ TAN, HENRY",BACOLOD,,,0,,
DP001287,ZZ SANAO MARKETING CORP.,NAGA CITY,,,0,,
DP001288,XXXLILIBETH P. BISCOCHO,h.o.,,,0,,
DP001289,"ZZ REVALDE, EUGENE",CEBU - TBPI,,,0,,
DP001290,ZZ CAL'S POULTRY SUPPLY,CEBU,DR. FERDINAND BAGUIO,,0,,
DP001291,XXXALFRED B. BACALLA,CEBU DEPOT,,,0,123,123
DP001292,"ZZ ISLA COMMUNICATIONS CO., INC.",CEBU,,,0,470-000-360-916,470-000-360-916
DP001293,ZZ VINCENT H. DY BUNCIO,C/O VISIVO PRODUCTION,,,0,,
DP001294,ZZ KEBIE,C/O CORAL FARM,,,0,,
DP001295,"CARRY BOY PHILS., INC.","94 BANAWE COR.MACOPA ST.,QUEZON CITY",,7400525,0,214-527-675,214-527-675
DP001296,ZZ ROBERT CO FARM,CEBU,,,0,,
DP001297,"ZZ MAJAROCON, NARCISO",CEBU,,,0,,
DP001298,D' JADE MARKETING,BACOLOD,,,0,,
DP001299,ZZ BALTAZAR DELORINO,OFFICE OF CITY VET- SAGAY,C/O JJLIM,,0,,
DP001300,XXXANGELO JUNITO F. AGRIAM,CEBU,,,0,,
DP001301,XXXASTURIAS FARM,CEBU,,,0,,
DP001302,ZZ MIRAMAR CAR CENTER,ILOILO CITY,,,0,,
DP001303,UNIVERSAL FEEDMILL CORPORATION,CEBU,,,45,,
DP001304,ZZ BICOL GRAINFIELD & AGRI SUPPLY,BICOL,PONG AGRITO,,0,,
DP001305,SOGO INTERNATIONAL INC.,#538 HEN.CALLINA COR.ZAMORA ST.BANGKALMAKATI CITY,,,0,000-143-992-000 VAT,000-143-992-000 VAT
DP001306,ZZ RIGOBERTO S. SANTIAGO JR.,q.c.,,,0,,
DP001307,VINCENT T. TAPIAXXXX,CDO - OTC,,,0,,
DP001308,ZZ TAPIA VINCENT,CEBU,,,0,,
DP001309,ZZ PERFECTION POULTRY SUPPLY,head office,,,0,,
DP001310,POPULAR FEEDMILL CORPORATION,"80-B ARANAS ST.,TABO-AN, CEBU CITY",,2610961/65,60,082-004-271-306-VAT,082-004-271-306-VAT
DP001311,ZZ SOLARIS AUTOTECH,CEBU,,,0,,
DP001312,RAYANTON CORPORATION,luzon,DR.NICETES BARQUILLA,,0,,
DP001313,ARLENE S. CAMANAY,CEBU,,,0,,
DP001314,BOKNI FOOTWEAR,"ALMEDA SUBD,. DE LA PAZBINAN, LAGUNA",,,0,202-640-182-000 VAT,202-640-182-000 VAT
DP001315,ZZ COMMONWEALTH INSURANCE CO.,ILOILO,,,0,,
DP001316,ZZ FINE STROKES ADVERTISING,"GOGON CAMALIGAN CAMARINESSUR, PHILS.",,474-6132,0,,
DP001317,"ZZ BACOLOD GAMMA, INC.","51 NARRA AVE., BACOLODCITY",,,0,077-005-076-150 VAT,077-005-076-150 VAT
DP001318,ZZ GG MARKETING,"SAN JOSE, ANTIQUE",,,0,102-222-242 VAT,102-222-242 VAT
DP001319,ZZ CHINA ARTS OP ASIA,"AMIGO PLAZA, IZNART ST.ILOILO CITY",,,0,102-265-522 VAT,102-265-522 VAT
DP001320,ZZ VSL SECURITY &GEN.SERVICES INC,VIS,,,0,123,123
DP001321,WIDE WIDE WORLD EXPRESS CORPORATION,"BLDG.PASCOR DRIVE, STO.NINO PARANAQUE M.M.",,833-3333,30,000-160-088-000-VAT,000-160-088-000-VAT
DP001322,ZZ DUNKIN DONUTS,"SAN JUAN DE CALAZANS ST.,PLAZA LIBERTAD, ILOILOCITY",,,0,001-004-583 VAT,001-004-583 VAT
DP001323,ZZ ILOILO PRIMECO MARKETING INC.,15J DE LEON ST. ILOILOCITY,,3370202,0,005-275-340 VAT,005-275-340 VAT
DP001324,SANNY C. LEOPARDASXXX,CEBU,,,0,123,123
DP001325,ZZ ILOILO PRIMECO MARKETING,15 J DE LEON ST ILOILOCITY,,,0,005-275-340,005-275-340
DP001326,ZZ FAMILY BAZAR,"MABINI ST. FRONTINGLIBERTAD SOUTH MARKET,BACOLOD CITY",,,0,077-104-067-773,077-104-067-773
DP001327,ZZ GOLDENFIELD CHICKEN,SINGCANG BACOLOD CITY,,,0,077-906-501-193,077-906-501-193
DP001328,ZZ JOY D. TABOADA,#006-E CORTES ST.PILIT CABAUCALAN MANDAUECITY,,,0,,
DP001329,XXXDINO INDUSTRIAL CORP.,"GERARDO OUANO ST., OPAOMANDAUE CITY, CEBU",,,0,168-296-573,
DP001330,ZZ SHERWIN M. CECIBAN,CEBU,,,0,,
DP001331,ZZ MANIFOLD TRADING SERVICES,CEBU,,,0,,
DP001332,EDR TRADING,CEBU,,,0,,
DP001333,ZZ JUANITO NASSER,MINDANAO,,,0,,
DP001334,ZZ JESUS P. PETILLA,DAVAO,JESS,,0,123,123
DP001335,ZZ REI FERDINAND SUBIDO,DAVAO CITY,REI,,0,123,123
DP001336,PVMA,DAVAO CITY,JPP,,0,,
DP001337,ZANZIBAR BEACH RESORT & CONVENTION HOTEL,"BALOY BEACH, BARRETTO ,OLONGAPO CITYCONCEPCION F. BLAYLOCK",CONCEPCION F.BLAYLOC,047-224-5355,0,102-969-259-000-V,102-969-259-000-V
DP001338,ZZ METROTRADE AGRIC. SUPPLY,DAVAO,,,0,,
DP001339,ZZ ARTURO MARCON,DAVAO,,,0,,
DP001340,ROGELIO P. ALMINAR,H.O. -PROMO/OTC,,,0,,
DP001341,ZZ VALDERAMA FARM,DAVAO CITY,,,0,,
DP001342,XXX SIMEON M. GONZALES,DAVAO,SIM,,0,,
DP001343,ZZ FINEST MERCHANDISING,"616-616 ORIENTE ST.,BINONDO MANILA",GREGN CHAN,242-55-37,0,103-907-318-000 VAT,103-907-318-000 VAT
DP001344,XXXCARINO D. OSIO,CAGAYAN DE ORO,NONOY,,0,123,123
DP001345,DINAH B. GONSER,DAVAO,,,0,123,123
DP001346,ZZ SR COMMISSION - LUZON,C/O LDI,,,0,123,123
DP001347,ZZ MTH ENTERPRISES,DAVAO DEPOT,,,0,,
DP001348,VISION TAPES & LABELS CORPORATION,"MEYCUAYAN,BULACAN",,,60,003-870-244-000VAT,003-870-244-000
DP001349,MISORTEL,CDO,,,0,,
DP001350,ZZ SHIELD 96,DAVAO,,,0,,
DP001351,XXXLEONARDO D. BONZATO,DAVAO,,,0,,
DP001352,XXXALEXANDER MICHAEL F. REAL,LUZON,,,0,,
DP001353,ZZ RICO GENERAL INSURANCE CORP.,DAVAO,,,0,123,123
DP001354,DAVAO CITY TREASURER'S OFFICE,DAVAO,,,0,123,123
DP001355,XXXDAVAO SUSANA FARMS,DAVAO,,,0,,
DP001356,ZZ HIJO PIGGERY,DAVAO,,,0,,
DP001357,ZZ SR COMMISSION - CPD,DAVAO,,,0,,
DP001358,ZZ GOLDEN AGRI. FARMS,DAVAOC/O JERRY TAN,JERRY TAN,,0,,
DP001359,ZZ AGRI DAVAO AND BALMAR FARM,DAVAO,C/O JPP,,0,,
DP001360,ZZ BOTICA CARINA,DAVAO,C/O RICO RIBEGAN,,0,,
DP001361,SPECTRUM AGRICULTURAL SUPPLY,DAVAO,C/O RICO REBIGAN,,0,,
DP001362,VET AGRO CHEM,DAVAO,C/O RLR,,0,,
DP001363,DAVAO POULTRY MARKETING,DAVAO,C/O RLR,,0,,
DP001364,SOLID SHIPPING LINES CORPORATION,Q.C.,,,0,000-638-968-000,
DP001365,ZZ GORGONIO E. ONG,DAVAO,,,0,,
DP001366,ZZ ALVIN T. TEVES,DAVAO SUSANA FARMS,,,0,,
DP001367,ZZ ROGER LIMSO,DAVAO,,,0,,
DP001368,ZZ JUANITO CAPILI,DAVAO,,,0,,
DP001369,ZZ ARTHUR TOPANG,Q.C.,,,0,,
DP001370,ZZ FARMLINE AGRIVENTURE,LUZON,ERIC RAZON,,0,,
DP001371,"INDEPENDENT TELEPHONE CO, INC.","SAN ANTONIO, BINAN,LAGUNA",,,0,000-933-829V,
DP001372,XXXNORMA D. HOW,DAVAO,,,0,,
DP001373,"ZZ REBIGAN, RICO",DAVAO,,,0,,
DP001374,AUTOFRIEND MARKETING,CPC BLDG. 71-E NICANORROXAS COR. BANAWE ST.Q.C.,DELIA,743-04-88,15,104-000-051-000 VAT,104-000-051-000 VAT
DP001375,"ZZ PEÑA, RENE O.",CDO,,,0,,
DP001376,J.U. KEYSER TRADING,Q.C.,,,0,,
DP001377,"ZZ SONGSPELL FOUNDATION, INC.",DAVAO CITY,,,0,,
DP001378,"XXXBIBIANA FARMS, INC.",DAVAO CITY,,,0,123,123
DP001379,DAVAO UNICAR CORP.,DAVAO,,,0,123,123
DP001380,"METROPOLITAN TRIAL COURT,QUEZON CITY",Q.C.,,,0,,
DP001381,ZZ JULIANA FARM,DAVAO,,,0,,
DP001382,ZZ RENATO ANGELES,iloilo city - cpd,,,0,,
DP001383,ZZ EDMOND DANTES,DAVAO CITY,,,0,123,123
DP001384,ZZ ELEANOR C. PALMA,GENERAL SANTOS CITY,ELEANOR C. PALMA,,0,,
DP001385,"ZZ MILITAR, ROBERTO M.",DAVAO DEPOT,,,0,123,123
DP001386,ZZ ROVER CIRCLE NO. 3,DAVAO CITY,,,0,,
DP001387,ZZ ILUMINADA FARMS,DAVA CITY,,,0,,
DP001388,ZZ ROMER AGRIVET SUPPLY,DAVA CITY,,,0,,
DP001389,ZZ JB JAVELLANA GENERAL MERCHANDISE,DAVAO CITY,,,0,,
DP001390,ZZ PHIL. AMERICAN POULTRY BREEDER,DAVAO CITY,ROLY MENDOZA,,0,,
DP001391,ZZ ULTRA SHELL MOTORIST CENTER,CDO,,,0,,
DP001392,ZZ EDWIN G.,CDO,,,0,123,123
DP001393,ZZ RONEL A. JABONERO,DAVAO DEPOT,,,0,123,123
DP001394,ZZ WINDELL P. TABABA,DAVAO DEPOT,,,0,123,123
DP001395,ZZ FARMERS AGRIVET,DAVAO CITY,,,0,,
DP001396,XXXFERNANDO D. UNSAY,DAVAO DEPOT,,,0,,
DP001397,"ZZ PLATON, ARNEL","DAVAO, TBPI",,,0,,
DP001398,ZZ SIGHT SAVER OPTICAL,q.c.,,,0,,
DP001399,"ZZ PREVIA AUTO PARTS CENTER, INC.",DAVAO CITY,,,30,,
DP001400,ZZ ICELAND CAR AIRCON & CAR ACCE.,DAVAO,,,15,,
DP001401,ZZ FEL-ART AUTO PARTS & SUPPLY,DAVAO,,,15,,
DP001402,ZZ NONIE PANTUA,DAVAO CITY,,,0,,
DP001403,ZZ IRENE FARM,DAVAO CITY,RAMIL LIM,,0,,
DP001404,ZZ MIRA FARM,GEN. SANTOS CITY,,,0,,
DP001405,ZZ ST. MICHAEL FARM,DAVAO,MARCELINO TAN,,0,,
DP001406,"ZZ MELICOR, TRINIDAD D.",CAGAYAN DE ORO DEPOT,,,0,,
DP001407,ZZ MADERA RAMON,O,,,0,,
DP001408,XXXOCRITO CLEMENTE,O,,,0,,
DP001409,ZZ ROBERT O. AGUSTIN,O,,,0,,
DP001410,ZZ OVANO SALUSTIANO,O,,,0,,
DP001411,ZZ JUN TAN,O,,,0,,
DP001412,ZZ JOSE EVANILO JUNTILLA,LDI - SR CDO,,,0,123,123
DP001413,XXXEDUNEL C. SALA,DVO DEPOT,,,0,123,123
DP001414,ZZ JESSE CABILES,DVO,,,0,,
DP001415,ZZ GLENN D. DORINGUEZ,DAVAO,,,0,123,123
DP001416,CAGAYAN DE ORO TREASURER'S OFF,CDO,,,0,123,123
DP001417,ZZ TRACY MONTINOLA,q.c.,,,0,,
DP001418,ZZ CESARIA AGRIVET TRADING,DAVAO,,,0,,
DP001419,ZZ HAIR PERFORMER,luzon,,,0,,
DP001420,XXXSUSANA FARMS,DAVAO CITY,,,0,,
DP001421,XXX-JOEL S. BAYNOSA,CAGAYAN DE ORO,,,0,,
DP001422,ZZ PATRICIA LASTIMOSA,CAGAYAN DE ORO,SMG,,0,,
DP001423,DIAMOND SERVICE SATELLITE CORPORATION,"DON MARIANO MARCOS AVENUECOR PESETA ST., NORTHFAIRVIEW, QUEZON CITY",,,0,204-557-481-000VAT,204-557-481-000VAT
DP001424,ZZ YOLANDA FARM,DAVAO,C/O JPP,,0,,
DP001425,PAYROLL CONTRACTUAL - LAST PAY,H.O.,,,0,,
DP001426,"ZZ LIM, RAMIL",DAVAO C/O JPP,,,0,,
DP001427,PAG-ASA FARM,DAVAO,,,0,,
DP001428,ZZ ED I. ASENTISTA,DAVAO SR,,,0,123,123
DP001429,ZZ ROSTAN SY TRADING,q.c.,,,0,,
DP001430,ZZ MARSON FARM,DAVAOC/O JPP,AMADEO LIM,,0,,
DP001431,ZZ GENSAN MARKETING,MINDANAO,C/O KENNETH ANG,,0,,
DP001432,"VIRGINIA STEEL,INC.",q.c.,,,0,005-678-397 VAT,005-678-397 VAT
DP001433,ZZ TECOLU FARM,DAVAO C/O TERESA MEJOS,TERESA MEJOS,,0,,
DP001434,"ZZ BUENO, JUN",DVO,NENE MAJAROCON,,0,,
DP001435,ZZ JEWN AGRO INDUSTRIAL CORP.,DAVAO,,,0,,
DP001436,ZZ CECILIA STOCK FARM,DAVAO,,,0,,
DP001437,"PHILIPPINE CHAMBER OF COMMERCE & INDUSTRY,INC",1030 Campus Avenue cor.Park Avenue McKinley HillFort Bonifacio Taguig Cit,,846-8196,0,000-667-292-00000 VAT,000-667-292-00000
DP001438,OFFICE OF THE CITY TREASURERS,CDO DEPOT,,,0,,
DP001439,ZZ IKE MANAAY,DAVAO,,,0,,
DP001440,POWER TRACK CORPORATION,MONTEVERDE ST.DAVAO CITY,,,0,004-422-189-VAT,004-422-189-VAT
