1000,"MANILA CITY, MM",L
1100,"QUEZON CITY, MM",L
1200,"MAKATI, MM",L
1300,"PASAY CITY, MM",L
1400,"CALOOCAN CITY, MM",L
1410,VALENZUELA,L
1450,"MALABON, MM",L
1485,"NAVOTAS, MM",L
1500,"MANDALUYONG CITY, MM",L
1550,"SAN JUAN, MM **",L
1600,"PASIG, MM",L
1620,"PATEROS, MM",L
1630,"TAGUIG, MM",L
1700,"PARANAQUE, MM",L
1740,LAS PI¥AS **,L
1770,"MUNTINLUPA, MM",L
1800,"MARIKINA, MM",L
1900,RIZAL PROVINCE,L
2000,PAMPANGA,L
2100,BATAAN,L
2200,ZAMBALES,L
2300,TARLAC,L
2400,PANGASINAN,L
2500,LA UNION,L
2600,BENGUET,L
2615,MOUNTAIN PROVINCE,L
2700,ILOCOS SUR,L
2800,ABRA,L
2900,ILOCOS NORTE,L
3000,BULACAN,L
3100,NUEVA ECIJA,L
3200,AURORA PROVINCE,L
3300,ISABELA,L
3400,QUIRINO PROVINCE,L
3500,CAGAYAN,L
3600,IFUGAO,L
3700,NUEVA VISCAYA,L
3800,KALINGA APAYAO,L
3900,BATANES,L
4000,LAGUNA,L
4100,CAVITE,L
4200,BATANGAS,L
4300,QUEZON,L
4400,CAMARINES SUR,L
4500,ALBAY,L
4600,CAMARINES NORTE,L
4700,SORSOGON,L
4800,CATANDUANES,L
4900,MARINDUQUE,L
5000,ILOILO,V
5040,GUIMARAS,V
5100,MINDORO OCCIDENTAL,L
5200,MINDORO ORIENTAL,L
5300,PALAWAN,M
5400,MASBATE,V
5500,ROMBLON,V
5600,AKLAN,V
5700,ANTIQUE,V
5800,CAPIZ,V
6000,CEBU PROVINCE,V
6100,NEGROS OCCIDENTAL,V
6200,NEGROS ORIENTAL,V
6250,SIQUIJOR,V
6300,BOHOL,V
6400,NORTHERN SAMAR,V
6500,LEYTE PROVINCE,V
6600,SOUTHERN LEYTE,V
6700,WESTERN SAMAR,V
6800,EASTERN SAMAR,V
7000,ZAMBOANGA DEL SUR,M
7100,ZAMBOANGA DEL NORTE,M
7200,MISAMIS OCCIDENTAL,M
7300,BASILAN PROVINCE,M
7400,SULU PROVINCE,M
7450,ZAMBOANGA SIBUGUEY,M
7500,TAWI-TAWI,M
8000,DAVAO DEL SUR,M
8100,DAVAO DEL NORTE,M
8200,DAVAO ORIENTAL,M
8300,SURIGAO DEL SUR,M
8400,SURIGAO DEL NORTE,M
8500,AGUSAN DEL SUR,M
8600,AGUSAN DEL NORTE,M
8700,BUKIDNON,M
8803,COMPOSTELLA VALLEY,M
9000,MISAMIS ORIENTAL,M
9100,CAMIGUIN,M
9200,LANAO DEL NORTE,M
9300,LANAO DEL SUR,M
9400,NORTH COTABATO,M
9500,SOUTH COTABATO,M
9501,SARANGANI,M
9600,MAGUINDANAO,M
9700,MARANAO PROVINCE,M
9800,SULTAN KUDARAT,M
